Journey_Mood_Like_Scores_UserId,Journey_Mood_Like_Scores_JourneyId,Journey_Mood_Like_Scores_Origin,Journey_Mood_Like_Scores_SmileyIndicator
MeganB@M365x693009.OnMicrosoft.com,f9b7212e-e935-49a3-91c4-6c93647e352b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,9973b8f9-144b-4d14-8ede-4cfb1db21c80,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,9973b8f9-144b-4d14-8ede-4cfb1db21c80,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Negative
arash.parnia@M365x693009.onmicrosoft.com,9973b8f9-144b-4d14-8ede-4cfb1db21c80,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,5a9a38fe-afbd-4f12-aa8d-ef8c39424108,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,c61ac198-a8dc-4f7b-9df4-bf5b8075b408,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,c61ac198-a8dc-4f7b-9df4-bf5b8075b408,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,c61ac198-a8dc-4f7b-9df4-bf5b8075b408,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,c61ac198-a8dc-4f7b-9df4-bf5b8075b408,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Negative
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,25d49a58-a144-484b-855d-d00b3c1e62a1,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,43acaa27-9d86-41ad-8af3-213b0752f3b3,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,65b4646e-f97e-4468-bd26-fe404e166dc9,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,e1de47de-1997-4aa4-82ef-389e6b80759e,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,88905a21-97f7-47b7-b72d-42eb5efc272c,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,6a194cca-64ff-40ba-8320-a8749a98d6cb,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,1c2ee5a1-9a10-4822-b779-106d7a49da4f,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,fb5cba82-7156-4251-b1c3-86b1f845a939,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,0519128f-ed1c-445e-9206-c8c02c9032b2,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,5bd2756e-5ced-4a73-a2f4-1ea82ade10df,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,0519128f-ed1c-445e-9206-c8c02c9032b2,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,f9b7212e-e935-49a3-91c4-6c93647e352b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,9c7d370b-bc90-400d-ae0a-9ab0e5b7e989,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,d3ce8cb4-4d55-48b9-becc-075f9069638c,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,114a5793-3a71-4341-b6c2-9e24d6811626,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,dd3e6b98-89a5-4c7b-a8a0-4c403c946e27,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,114a5793-3a71-4341-b6c2-9e24d6811626,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,dd3e6b98-89a5-4c7b-a8a0-4c403c946e27,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,114a5793-3a71-4341-b6c2-9e24d6811626,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,5d9b77fb-4d92-4032-ab9c-c6b2f227fe48,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,dd3e6b98-89a5-4c7b-a8a0-4c403c946e27,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,0519128f-ed1c-445e-9206-c8c02c9032b2,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,5d9b77fb-4d92-4032-ab9c-c6b2f227fe48,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,3febb92c-ad5a-431c-be56-44cfef10eb34,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,3febb92c-ad5a-431c-be56-44cfef10eb34,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,0519128f-ed1c-445e-9206-c8c02c9032b2,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,3febb92c-ad5a-431c-be56-44cfef10eb34,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
arash.parnia@M365x693009.onmicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,f9b7212e-e935-49a3-91c4-6c93647e352b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,9b735e05-3341-4622-a0cc-238a43917022,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,f9b7212e-e935-49a3-91c4-6c93647e352b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,f9b7212e-e935-49a3-91c4-6c93647e352b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,c61ac198-a8dc-4f7b-9df4-bf5b8075b408,journey,Negative
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,5a9a38fe-afbd-4f12-aa8d-ef8c39424108,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,23e72fa9-6037-498d-92e0-d4451ae80699,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Positive
MeganB@M365x693009.OnMicrosoft.com,88905a21-97f7-47b7-b72d-42eb5efc272c,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,65b4646e-f97e-4468-bd26-fe404e166dc9,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,8b28566c-eca5-44fd-9937-10b90b2d4f16,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,b3a569e7-64db-424b-b678-5ae255728d84,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,65b4646e-f97e-4468-bd26-fe404e166dc9,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,65b4646e-f97e-4468-bd26-fe404e166dc9,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,445826b7-b86e-4e73-af02-8d44dd0617c1,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,88905a21-97f7-47b7-b72d-42eb5efc272c,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,43acaa27-9d86-41ad-8af3-213b0752f3b3,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,18bc5c92-80fd-408b-a997-7144bdb4fdee,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,5d9b77fb-4d92-4032-ab9c-c6b2f227fe48,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,5bd2756e-5ced-4a73-a2f4-1ea82ade10df,journey,Neutral
pieter.krom@M365x693009.onmicrosoft.com,0519128f-ed1c-445e-9206-c8c02c9032b2,journey,Negative
MeganB@M365x693009.OnMicrosoft.com,7a458f4a-e5fc-482b-98bc-81a783b03a8b,journey,Neutral
MeganB@M365x693009.OnMicrosoft.com,9c7d370b-bc90-400d-ae0a-9ab0e5b7e989,journey,Positive
